Location,Latitude,Longitude,,,,,
Galston 132_11kV FY2021.csv,,,-27.57550355,153.0935636,,,
Gateshead 33_11kV FY2021.csv,-32.98975546,151.6954637,0,0,,,
Gore Hill 33_11kV FY2021.csv,-33.81689858,151.1854817,-27.41932859,152.9908872,,,
Graving Dock No 1 33_11kV FY2021.csv,,,-27.23402605,152.4201972,,,
Graving Dock No 2 33_11kV FY2021.csv,,,-26.48244831,152.9443544,,,
Green Square 132_11kV FY2021.csv,-33.91228459,151.1944115,-27.37926408,153.1718534,,,
Greenacre 132_11kV FY2021.csv,-33.90444664,151.0407427,-27.39390068,153.1650226,,,
Greenacre Park 132_11kV FY2021.csv,,,-27.79510997,152.7094354,,,
Gwawley Bay 33_11kV FY2021.csv,-34.0218779,151.1040213,-27.57275309,152.283598,,,
Gwawley Bay 132_11kV FY2021.csv,-34.0218779,151.1040213,-27.9523614,153.3403834,,,
Harbord 33_11kV FY2021.csv,,,-27.33055291,153.0501792,,,
Homebush Bay 132_11kV FY2021.csv,-33.83304182,151.0732881,-27.43673371,153.1250732,,,
Hornsby 132_11kV FY2021.csv,,,-27.52942436,152.4071281,,,
Hunters Hill 66_11kV FY2021.csv,-33.82821071,151.1294613,-27.6209498,152.8781333,,,
Hurstville North 33_11kV FY2021.csv,-33.95500016,151.0954451,-26.10003632,152.7455393,,,
Hurstville North 132_11kV FY2021.csv,,,0,0,,,
Jannali 33_11kV FY2021.csv,-34.02271236,151.0649113,-27.41157987,152.9612235,,,
Jesmond 132_11kV FY2021.csv,-32.8989531,151.6848826,-26.18148888,152.650149,,,
Jewells 33_11kV FY2021.csv,,,-26.22044528,152.696147,,,
Killarney 33_11kV FY2021.csv,,,-26.1963859,152.6816566,,,
Kingsford 132_11kV FY2021.csv,-33.9267705,151.22974,-27.4346946,153.0848473,,,
Kirrawee 132_11kV FY2021.csv,,,-27.4393212,153.0628461,,,
Kogarah 132_11kV FY2021.csv,-33.9680435,151.1276437,-27.64248735,152.9800147,,,
Kotara 33_11kV FY2021.csv,-32.93817786,151.7122737,-27.54655153,152.128552,,,
Kurnell South 132_11kV FY2021.csv,,,-27.45190117,153.12668,,,
Kurri 132_11kV FY2021.csv,-32.80609786,151.5000784,-27.42020611,153.0644466,,,
Lake Munmorah 132_11kV FY2021.csv,,,-27.5231379,153.0774941,,,
Leichhardt 33_11kV FY2021.csv,-33.88138537,151.1594797,-27.5154759,153.056109,,,
Leichhardt 132_11kV FY2021.csv,-33.88138537,151.1594797,-27.90615243,153.3883944,,,
Leightonfield 33_11kV FY2021.csv,-33.8820739,150.9915193,-27.87920396,153.3603529,,,
Lemington 66_11kV FY2021.csv,,,-27.61587594,153.4389413,,,
Lidcombe 33_11kV FY2021.csv,-33.85696981,151.0371685,-26.46417346,152.6549139,,,
Lindfield 33_11kV FY2021.csv,-33.77395361,151.166468,-27.5957495,152.9702451,,,
Lisarow 33_11kV FY2021.csv,-33.38519055,151.3714437,-27.49899848,152.9740185,,,
Long Jetty 66_11kV FY2021.csv,-33.36961613,151.4736943,-28.1696003,152.9092251,,,
Lucas Heights 33_11kV FY2021.csv,,,-27.63870002,152.7609059,,,
Macquarie Park 132_11kV FY2021.csv,-33.77151623,151.1137388,-27.80911279,153.0444367,,,
Maitland 33_11kV FY2021.csv,-32.72887015,151.5510513,-27.53515951,152.9355386,,,
Manly 33_11kV FY2021.csv,,,-27.94214699,152.6483581,,,
Maroubra 132_11kV FY2021.csv,-33.93954532,151.2373802,-27.25122472,152.9938612,,,
Marrickville 132_11kV FY2021.csv,-33.91243713,151.1543752,-27.59550267,152.6918211,,,
Maryland 132_11kV FY2021.csv,,,-26.72029552,153.1290905,,,
Mascot 33_11kV FY2021.csv,-33.92112797,151.1910868,-27.41293675,153.0331719,,,
Matraville 33_11kV FY2021.csv,-33.96228144,151.2377501,-27.45428711,153.012317,,,
Mayfield West 132_11kV FY2021.csv,-32.89232301,151.7225684,-26.60372334,152.7482327,,,
Meadowbank 132_11kV FY2021.csv,-33.81357599,151.0935826,-27.50657857,152.937796,,,
Medowie 33_11kV FY2021.csv,,,-26.93771918,152.5815297,,,
Menai 132_11kV FY2021.csv,-34.01490002,151.0108487,-27.67678213,153.1207128,,,
Merriwa 33_11kV FY2021.csv,,,-28.17370728,153.5302121,,,
Metford 33_11kV FY2021.csv,-32.76274437,151.5986471,-27.93879645,153.3990897,,,
Milperra 132_11kV FY2021.csv,-33.93811584,150.9990199,-27.6488577,152.3890915,,,
Miranda 33_11kV FY2021.csv,-34.02856054,151.0930726,-26.80803594,152.970084,,,
Mitchell Line 66_11kV FY2021.csv,,,-27.28618045,152.9732453,,,
Mitchells Flat 66_11kV FY2021.csv,,,-27.49963729,152.4523789,,,
Mona Vale 33_11kV FY2021.csv,,,-27.77002088,153.1093152,,,
Moonan 33_11kV FY2021.csv,,,-27.67662655,153.1856858,,,
Morisset 132_11kV FY2021.csv,,,-27.66417123,153.1316754,,,
Mortdale 33_11kV FY2021.csv,-33.97119087,151.0728882,-27.4664275,153.1769997,,,
Mosman 132_11kV FY2021.csv,-33.82581037,151.2396258,-27.45830947,152.5891146,,,
Mt Hutton 33_11kV FY2021.csv,-32.98499146,151.6619499,-27.43439178,153.1425171,,,
Mt Thorley 66_11kV FY2021.csv,,,-27.41637214,153.1543868,,,
Muswellbrook 33_11kV FY2021.csv,,,-27.46739492,153.0182841,,,
Narrabeen 33_11kV FY2021.csv,,,-26.76178256,152.8558235,,,
Nelson Bay 33_11kV FY2021.csv,,,0,0,,,
New Lambton 33_11kV FY2021.csv,,,-27.23886545,153.0270427,,,
Newcastle CBD 33_11kV FY2021.csv,-32.92981346,151.7754085,-27.56549668,152.5937604,,,
Newdell 66_11kV FY2021.csv,,,-27.45840086,153.0357977,,,
Newport 33_11kV FY2021.csv,,,-27.43052273,153.1121385,,,
Noraville 33_11kV FY2021.csv,,,-28.03519126,153.4073434,,,
North Head 33_11kV FY2021.csv,,,-28.06354282,153.4358864,,,
North Sydney 33_11kV FY2021.csv,-33.83655085,151.2086085,-27.46667076,153.0089474,,,
North Sydney 132_11kV FY2021.csv,-33.83655085,151.2086085,-27.53842339,152.8972092,,,
Nulkaba 33_11kV FY2021.csv,-32.80600715,151.3452264,-27.97853558,153.3607886,,,
Olympic Park 132_11kV FY2021.csv,-33.84967858,151.0749139,-26.70893796,153.0689736,,,
Paddington 33_11kV FY2021.csv,-33.88468839,151.2255157,-27.52682507,153.0224506,,,
Paxton 33_11kV FY2021.csv,-32.90008424,151.2769543,-27.09786419,152.9518827,,,
Peats Ridge 33_11kV FY2021.csv,-33.37409104,151.230771,-27.1342249,152.9594604,,,
Pelican 33_11kV FY2021.csv,-33.06323441,151.6525702,-27.61977232,153.2347819,,,
Pennant Hills 132_11kV FY2021.csv,,,-27.53728178,152.7936233,,,
Port Botany 33_11kV FY2021.csv,-33.96499965,151.2188427,-27.54329799,153.0810852,,,
Potts Hill 132_11kV FY2021.csv,-33.88809667,151.0422127,-27.72119761,152.2196118,,,
Punchbowl 33_11kV FY2021.csv,,,-27.9029542,153.1127635,,,
Pymble 33_11kV FY2021.csv,,,0,0,,,
Rathmines 132_11kV FY2021.csv,-33.03316941,151.561717,-28.08307685,153.3525601,,,
Raymond Terr NEW 33_11kV FY2021.csv,,,-27.46038665,153.1052518,,,
Revesby 132_11kV FY2021.csv,-33.95309676,151.0121909,-27.23746768,152.4985924,,,
Riverwood 33_11kV FY2021.csv,,,-27.40273939,153.1303293,,,
RNS Hospital 132_11kV FY2021.csv,,,-26.61570712,152.9609089,,,
Rockdale 33_11kV FY2021.csv,-33.95252192,151.1500726,-27.20405198,152.9856476,,,
Rockdale 132_11kV FY2021.csv,-33.95252192,151.1500726,-28.00731456,153.3386909,,,
Rose Bay 33_11kV FY2021.csv,-33.87802734,151.2714509,-27.43582685,153.0136521,,,
Rose Bay 132_11kV FY2021.csv,-33.87802734,151.2714509,-27.45060894,153.0478094,,,
Rothbury 132_11kV FY2021.csv,,,-27.07094109,153.0574077,,,
Rouchel 33_11kV FY2021.csv,,,-26.40843722,153.0487627,,,
Rutherford 33_11kV FY2021.csv,-32.71642745,151.5164457,-27.74454506,152.986113,,,
Sans Souci 33_11kV FY2021.csv,-33.99356405,151.1390895,-27.61547812,153.1211834,,,
Scone 66_11kV FY2021.csv,,,-27.59538807,152.7585621,,,
Sefton 132_11kV FY2021.csv,-33.88749434,151.0185873,-27.26597939,152.9418071,,,
Singleton 66_11kV FY2021.csv,-32.54422117,151.1490017,-27.38973758,153.0830311,,,
Singleton North 66_11kV FY2021.csv,-32.56777669,151.1784159,-27.39702838,153.0614048,,,
Somersby 132_11kV FY2021.csv,,,0,0,,,
St Ives 33_11kV FY2021.csv,,,-28.1321933,153.4729264,,,
St Peters 132_11kV FY2021.csv,-33.90659861,151.1832037,-26.6893257,152.9503828,,,
Stockton 33_11kV FY2021.csv,,,-27.95805842,153.3833248,,,
Strathfield South 132_11kV FY2021.csv,-33.86709838,151.088928,-26.48280219,153.0599781,,,
Summer Hill 33_11kV FY2021.csv,,,-27.81110021,153.3355666,,,
Surry Hills 33_11kV FY2021.csv,-33.89085499,151.2099852,-27.53322928,152.0663258,,,
Swansea 33_11kV FY2021.csv,-33.09737644,151.6381924,-27.45704515,153.0877014,,,
Tanilba Bay 33_11kV FY2021.csv,,,-27.52279701,153.2578625,,,
Tarro 33_11kV FY2021.csv,-32.8100654,151.6692445,0,0,,,
Telarah 33_11kV FY2021.csv,-32.73205238,151.5395886,-27.59821259,152.8720634,,,
Terrey Hills 33_11kV FY2021.csv,,,-27.23020386,153.1077688,,,
Thornton 33_11kV FY2021.csv,-32.76880589,151.6318527,-27.61663275,153.2910386,,,
Tighes Hill 33_11kV FY2021.csv,,,-28.06962016,153.3765351,,,
Tomago 33_11kV FY2021.csv,-32.81513362,151.7647157,-27.54325127,153.019985,,,
Tomalpin 33_11kV FY2021.csv,-32.83581374,151.4511012,-27.6183427,152.7616738,,,
Tomaree 33_11kV FY2021.csv,,,-27.67016519,152.5951706,,,
Top Ryde 132_11kV FY2021.csv,-33.81175982,151.113765,-27.59503172,153.0749326,,,
Toronto 33_11kV FY2021.csv,-33.00897378,151.5782834,-27.66593168,153.3847723,,,
Toronto West 132_11kV FY2021.csv,,,-27.54552662,153.0323199,,,
Turramurra 33_11kV FY2021.csv,,,-27.37802689,152.8749359,,,
Umina 66_11kV FY2021.csv,-33.51877635,151.3070179,-27.33055291,153.0501792,,,
Vales Point 33_11kV FY2021.csv,,,-27.21453791,153.104023,,,
Wamberal 66_11kV FY2021.csv,-33.42946587,151.4314991,-27.50751963,153.1154979,,,
Wamberal 132_11kV FY2021.csv,-33.42946587,151.4314991,-27.52968595,152.9806516,,,
Waverley 33_11kV FY2021.csv,-33.89165048,151.2604902,-27.11532845,152.5539456,,,
Waverley 132_11kV FY2021.csv,-33.89165048,151.2604902,-27.97319751,153.4098591,,,
West Gosford 132_11kV FY2021.csv,-33.42047183,151.3311205,-27.48097277,152.3218785,,,
Williamtown 33_11kV FY2021.csv,,,-27.67270768,152.8967358,,,
Woy Woy 66_11kV FY2021.csv,-33.49709331,151.3006148,-27.68704919,152.9078115,,,
Wyong 132_11kV FY2021.csv,,,-27.49942234,153.0114772,,,
Zetland 132_11kV FY2021.csv,-33.90284626,151.2042484,-27.39894424,153.0094798,,,
