Location,Latitude,Longitude
Kedron_EGX_20202021.csv,-27.53515951,152.9355386
Kelvin Grove_EGX_20202021.csv,-27.94214699,152.6483581
Kenilworth_EGX_20202021.csv,-27.25122472,152.9938612
Kenmore_EGX_20202021.csv,-27.59550267,152.6918211
Kilcoy_EGX_20202021.csv,-26.72029552,153.1290905
Kingston_EGX_20202021.csv,-27.41293675,153.0331719
Kirra_EGX_20202021.csv,-27.45428711,153.012317
Labrador_EGX_20202021.csv,-26.60372334,152.7482327
Laidley_EGX_20202021.csv,-27.50657857,152.937796
Landsborough_EGX_20202021.csv,-26.93771918,152.5815297
Lawnton_EGX_20202021.csv,-27.67678213,153.1207128
Lockrose_EGX_20202021.csv,-28.17370728,153.5302121
Logan Village_EGX_20202021.csv,-27.93879645,153.3990897
Loganholme_EGX_20202021.csv,-27.6488577,152.3890915
Loganlea_EGX_20202021.csv,-26.80803594,152.970084
Lota_EGX_20202021.csv,-27.28618045,152.9732453
Lowood_EGX_20202021.csv,-27.49963729,152.4523789
Lytton B_EGX_20202021.csv,-27.77002088,153.1093152
Lytton_EGX_20202021.csv,-27.67662655,153.1856858
Makerston St_EGX_20202021.csv,-27.66417123,153.1316754
Maleny_EGX_20202021.csv,-27.4664275,153.1769997
Mango Hill Bus 1_EGX_20202021.csv,-27.45830947,152.5891146
Mango Hill Bus 2_EGX_20202021.csv,-27.43439178,153.1425171
Marburg_EGX_20202021.csv,-27.41637214,153.1543868
McLachlan St_EGX_20202021.csv,-27.46739492,153.0182841
Meeandah_EGX_20202021.csv,-26.76178256,152.8558235
Merrimac_EGX_20202021.csv,0,0
Miami_EGX_20202021.csv,-27.23886545,153.0270427
Milton_EGX_20202021.csv,-27.56549668,152.5937604
Moggill_EGX_20202021.csv,-27.45840086,153.0357977
Molendinar_EGX_20202021.csv,-27.43052273,153.1121385
Mooloolaba_EGX_20202021.csv,-28.03519126,153.4073434
Moorooka_EGX_20202021.csv,-28.06354282,153.4358864
Morayfield North_EGX_20202021.csv,-27.46667076,153.0089474
Morayfield_EGX_20202021.csv,-27.53842339,152.8972092
Mt Cotton_EGX_20202021.csv,-27.97853558,153.3607886
Mt Crosby West_EGX_20202021.csv,-26.70893796,153.0689736
Mt Gravatt_EGX_20202021.csv,-27.52682507,153.0224506
Mt Sylvia_EGX_20202021.csv,-27.09786419,152.9518827
Mt Tamborine Bus 1_EGX_20202021.csv,-27.1342249,152.9594604
Mt Tamborine Bus 2_EGX_20202021.csv,-27.61977232,153.2347819
Mudgeeraba West Pkg_EGX_20202021.csv,-27.53728178,152.7936233
Murarrie_EGX_20202021.csv,-27.54329799,153.0810852
Murrumba_EGX_20202021.csv,-27.72119761,152.2196118
Myrtletown_EGX_20202021.csv,-27.9029542,153.1127635
Nambour_EGX_20202021.csv,0,0
Narangba_EGX_20202021.csv,-28.08307685,153.3525601
Nerang_EGX_20202021.csv,-27.46038665,153.1052518
Newmarket_EGX_20202021.csv,-27.23746768,152.4985924
Newstead_EGX_20202021.csv,-27.40273939,153.1303293
Ningi_EGX_20202021.csv,-26.61570712,152.9609089
Noosaville_EGX_20202021.csv,-27.20405198,152.9856476
North Maclean_EGX_20202021.csv,-28.00731456,153.3386909
North Springwood_EGX_20202021.csv,-27.43582685,153.0136521
Nth Ipswich_EGX_20202021.csv,-27.45060894,153.0478094
Nth Pine Dam_EGX_20202021.csv,-27.07094109,153.0574077
Nudgee_EGX_20202021.csv,-26.40843722,153.0487627
Nundah_EGX_20202021.csv,-27.74454506,152.986113
Oxley_EGX_20202021.csv,-27.61547812,153.1211834
Palm Beach_EGX_20202021.csv,-27.59538807,152.7585621
Palmwoods Central_EGX_20202021.csv,-27.26597939,152.9418071
Parkwood_EGX_20202021.csv,-27.38973758,153.0830311
Peregian_EGX_20202021.csv,-27.39702838,153.0614048
Pimpama East_EGX_20202021.csv,0,0
Postmans Ridge_EGX_20202021.csv,-28.1321933,153.4729264
Queensport_EGX_20202021.csv,-26.6893257,152.9503828
Raby Bay_EGX_20202021.csv,-27.95805842,153.3833248
Redbank Plains_EGX_20202021.csv,-26.48280219,153.0599781
Redbank_EGX_20202021.csv,-27.81110021,153.3355666
Redcliffe_EGX_20202021.csv,-27.53322928,152.0663258
Redland Bay_EGX_20202021.csv,-27.45704515,153.0877014
Robina_EGX_20202021.csv,-27.52279701,153.2578625
Rocklea_EGX_20202021.csv,0,0
Roderick St_EGX_20202021.csv,-27.59821259,152.8720634
Rosewood_EGX_20202021.csv,-27.23020386,153.1077688
Runcorn_EGX_20202021.csv,-27.61663275,153.2910386
Russell Island_EGX_20202021.csv,-28.06962016,153.3765351
Salisbury_EGX_20202021.csv,-27.54325127,153.019985
Samford_EGX_20202021.csv,-27.6183427,152.7616738
Sandgate_EGX_20202021.csv,-27.67016519,152.5951706
Scarborough_EGX_20202021.csv,-27.59503172,153.0749326
Scrub Road_EGX_20202021.csv,-27.66593168,153.3847723
Sherwood_EGX_20202021.csv,-27.54552662,153.0323199
Somerset Dam_EGX_20202021.csv,-27.37802689,152.8749359
Southport_EGX_20202021.csv,-27.33055291,153.0501792
Spring Creek_EGX_20202021.csv,-27.21453791,153.104023
Springfield Central_EGX_20202021.csv,-27.50751963,153.1154979
Springfield_EGX_20202021.csv,-27.52968595,152.9806516
St Lucia_EGX_20202021.csv,-27.11532845,152.5539456
Stafford_EGX_20202021.csv,-27.97319751,153.4098591
Stapylton_EGX_20202021.csv,-27.48097277,152.3218785
Stradbroke Is_EGX_20202021.csv,-27.67270768,152.8967358
Strathpine_EGX_20202021.csv,-27.68704919,152.9078115
Sumner_EGX_20202021.csv,-27.49942234,153.0114772
Sunnybank_EGX_20202021.csv,-27.39894424,153.0094798
Surfers Paradise_EGX_20202021.csv,-27.74938417,153.2544139
Tamborine Village_EGX_20202021.csv,-27.51856394,153.4891438
Tanah Merah_EGX_20202021.csv,-27.31391233,152.9897199
Tarampa_EGX_20202021.csv,-27.55764256,152.9452012
Taringa_EGX_20202021.csv,-27.56506556,153.0551637
Tennyson_EGX_20202021.csv,-27.99784514,153.4270704
Tenthill_EGX_20202021.csv,-27.90294152,153.1127048
Tewantin_EGX_20202021.csv,-27.65829516,153.1661279
The Gap_EGX_20202021.csv,-27.47921729,152.5489918
Tin Can Bay_EGX_20202021.csv,-27.49924634,152.9900549
Tingalpa_EGX_20202021.csv,-27.52633194,153.0077338
Toogoolawah_EGX_20202021.csv,-27.63519056,152.2279277
Toorbul Point_EGX_20202021.csv,-26.40837269,153.0487956
Toowong_EGX_20202021.csv,-27.44783394,152.9418461
